title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo for sale,,San Francisco,CA,94131,"$1,350,000 ","4 bds, 3.0 ba ,1635 sqft",Compass,https://www.zillow.com/homedetails/266-Red-Rock-Way-B-San-Francisco-CA-94131/2077303142_zpid/
House for sale,,San Francisco,CA,94131,"$1,175,000 ","3 bds, 2.0 ba ,1249 sqft",Engel & Voelkers San Francisco,https://www.zillow.com/homedetails/1580-Sanchez-St-San-Francisco-CA-94131/2105566028_zpid/
Condo for sale,,San Francisco,CA,94131,"$949,000 ","2 bds, 1.0 ba ,1020 sqft",Compass,https://www.zillow.com/homedetails/902-Corbett-Ave-APT-4-San-Francisco-CA-94131/15131470_zpid/
Condo for sale,,San Francisco,CA,94131,"$1,199,000 ","2 bds, 1.0 ba ,1100 sqft",,https://www.zillow.com/homedetails/367-27th-St-San-Francisco-CA-94131/2075570523_zpid/
House for sale,,San Francisco,CA,94131,"$1,580,000 ","3 bds, 3.0 ba ,3030 sqft",,https://www.zillow.com/homedetails/114-Day-St-San-Francisco-CA-94131/2074487347_zpid/
House for sale,,San Francisco,CA,94131,"$2,375,000 ","4 bds, 2.0 ba ,2215 sqft",Coldwell Banker Realty,https://www.zillow.com/homedetails/4284-26th-St-San-Francisco-CA-94131/15181522_zpid/
Under Contract,,San Francisco,CA,94131,"$700,000 ","1 bds, 1.0 ba ,830 sqft",Park North Real Estate,https://www.zillow.com/homedetails/175-Red-Rock-Way-APT-111K-San-Francisco-CA-94131/15199211_zpid/
House for sale,,San Francisco,CA,94131,"$4,695,000 ","5 bds, 6.0 ba ,None sqft",Corcoran Global Living,https://www.zillow.com/homedetails/313-Duncan-St-San-Francisco-CA-94131/15182683_zpid/
Condo for sale,,San Francisco,CA,94131,"$1,249,000 ","2 bds, 2.0 ba ,1143 sqft",Vanguard Properties,https://www.zillow.com/homedetails/3550-Market-St-San-Francisco-CA-94131/2137487408_zpid/
House for sale,,San Francisco,CA,94131,"$2,495,000 ","3 bds, 3.0 ba ,2120 sqft",Compass,https://www.zillow.com/homedetails/3888-26th-St-San-Francisco-CA-94131/15181369_zpid/
House for sale,,San Francisco,CA,94131,"$2,099,000 ","3 bds, 3.0 ba ,None sqft",Compass,https://www.zillow.com/homedetails/1524-Noe-St-San-Francisco-CA-94131/15182906_zpid/
House for sale,,San Francisco,CA,94131,"$3,550,000 ","12 bds, None ba ,7060 sqft",Coldwell Banker Commercial Rea,https://www.zillow.com/homedetails/130-Acadia-St-San-Francisco-CA-94131/2075212377_zpid/
Condo for sale,,San Francisco,CA,94131,"$1,475,000 ","3 bds, 2.0 ba ,2138 sqft",Sequoia Real Estate,https://www.zillow.com/homedetails/8-Joost-Ave-4-San-Francisco-CA-94131/2091349929_zpid/
Under Contract,,San Francisco,CA,94131,"$1,625,000 ","3 bds, 2.0 ba ,1500 sqft",Corcoran Global Living,https://www.zillow.com/homedetails/541-27th-St-San-Francisco-CA-94131/54854773_zpid/
Under Contract,,San Francisco,CA,94131,"$1,299,000 ","3 bds, 2.0 ba ,1345 sqft",Pinnacle Properties,https://www.zillow.com/homedetails/458-Arlington-St-San-Francisco-CA-94131/96015380_zpid/
House for sale,,San Francisco,CA,94131,"$1,150,000 ","3 bds, 2.0 ba ,1204 sqft",Vanguard Properties,https://www.zillow.com/homedetails/226-27th-St-APT-4-San-Francisco-CA-94131/2102870287_zpid/
House for sale,,San Francisco,CA,94131,"$2,100,000 ","4 bds, 2.0 ba ,2104 sqft",Corcoran Global Living,https://www.zillow.com/homedetails/3957-Cesar-Chavez-St-San-Francisco-CA-94131/15182034_zpid/
Condo for sale,,San Francisco,CA,94131,"$1,375,000 ","3 bds, 2.0 ba ,1482 sqft",Vanguard Properties,https://www.zillow.com/homedetails/5124-Diamond-Heights-Blvd-A-San-Francisco-CA-94131/2077359216_zpid/
Under Contract,,San Francisco,CA,94131,"$435,000 ","0 bds, 1.0 ba ,474 sqft",Berkshire Hathaway Drysdale Pr,https://www.zillow.com/homedetails/55-Red-Rock-Way-APT-110O-San-Francisco-CA-94131/15199353_zpid/
House for sale,,San Francisco,CA,94131,"$6,995,000 ","16 bds, None ba ,9544 sqft",Keller Williams Temecula Valle,https://www.zillow.com/homedetails/74-Crestline-Dr-San-Francisco-CA-94131/2078204322_zpid/
New construction,,San Francisco,CA,94131,"$5,300,000 ","5 bds, 5.0 ba ,3637 sqft",Compass,https://www.zillow.com/homedetails/1858-Church-St-San-Francisco-CA-94131/15183767_zpid/
Under Contract,,San Francisco,CA,94131,"$725,000 ","1 bds, 1.0 ba ,830 sqft",Vanguard Properties,https://www.zillow.com/homedetails/15-Red-Rock-Way-APT-302N-San-Francisco-CA-94131/15199334_zpid/
House for sale,,San Francisco,CA,94131,"$1,388,000 ","4 bds, 3.0 ba ,1740 sqft",Coldwell Banker Realty,https://www.zillow.com/homedetails/106-Circular-Ave-San-Francisco-CA-94131/15186111_zpid/
House for sale,,San Francisco,CA,94131,"$1,488,000 ","3 bds, 2.0 ba ,None sqft",Century 21 Realty Alliance,https://www.zillow.com/homedetails/885-Duncan-St-San-Francisco-CA-94131/15199465_zpid/
House for sale,,San Francisco,CA,94131,"$12,000,000 ","4 bds, 6.0 ba ,6230 sqft",Compass,https://www.zillow.com/homedetails/2-Everson-St-San-Francisco-CA-94131/15200259_zpid/
House for sale,,San Francisco,CA,94131,"$2,700,000 ","4 bds, 3.0 ba ,2500 sqft",,https://www.zillow.com/homedetails/13-Ora-Way-San-Francisco-CA-94131/15199753_zpid/
House for sale,,San Francisco,CA,94131,"$2,699,888 ","3 bds, 3.0 ba ,2060 sqft",,https://www.zillow.com/homedetails/489A-30th-St-San-Francisco-CA-94131/2078250321_zpid/
House for sale,,San Francisco,CA,94131,"$4,999,888 ","6 bds, 5.0 ba ,4130 sqft",,https://www.zillow.com/homedetails/489-30th-St-San-Francisco-CA-94131/15183637_zpid/
Condo for sale,,San Francisco,CA,94133,"$789,000 ","1 bds, 1.0 ba ,700 sqft",Compass,https://www.zillow.com/homedetails/454-Lombard-St-APT-2-San-Francisco-CA-94133/15064381_zpid/
Condo for sale,,San Francisco,CA,94133,"$1,500,000 ","1 bds, 1.0 ba ,986 sqft",Compass,https://www.zillow.com/homedetails/999-Green-St-APT-1605-San-Francisco-CA-94133/15066373_zpid/
Condo for sale,,San Francisco,CA,94133,"$1,400,000 ","2 bds, 2.0 ba ,1313 sqft","Hatch Realty Group, Inc.",https://www.zillow.com/homedetails/530-Chestnut-St-C308-San-Francisco-CA-94133/2073847426_zpid/
House for sale,,San Francisco,CA,94133,"$1,699,000 ","84 bds, 2.0 ba ,2952 sqft",Madison Hunter,https://www.zillow.com/homedetails/26-Varennes-St-San-Francisco-CA-94133/2073856389_zpid/
House for sale,,San Francisco,CA,94133,"$1,249,000 ","2 bds, 1.0 ba ,None sqft",Compass,https://www.zillow.com/homedetails/345-Union-St-San-Francisco-CA-94133/2101027024_zpid/
Condo for sale,,San Francisco,CA,94133,"$7,995,000 ","2 bds, 3.0 ba ,3640 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/1750-Taylor-St-UNIT-1401-San-Francisco-CA-94133/63196110_zpid/
Condo for sale,,San Francisco,CA,94133,"$2,495,000 ","3 bds, 3.0 ba ,2165 sqft",Vanguard Properties,https://www.zillow.com/homedetails/14-Havens-St-A-San-Francisco-CA-94133/2076569922_zpid/
House for sale,,San Francisco,CA,94133,"$3,995,000 ","4 bds, 3.0 ba ,3182 sqft",Compass,https://www.zillow.com/homedetails/1011-Green-St-San-Francisco-CA-94133/15066302_zpid/
Multi-family home for sale,,San Francisco,CA,94133,"$2,375,000 ","3 bds, None ba ,4400 sqft",Compass Commercial,https://www.zillow.com/homedetails/912-Jackson-Street-San-Francisco-CA-94133/2093940024_zpid/
Multi-family home for sale,,San Francisco,CA,94133,"$3,995,000 ","2 bds, None ba ,10875 sqft",Compass Commercial,https://www.zillow.com/homedetails/1443-Powell-St-San-Francisco-CA-94133/2079219137_zpid/
Multi-family home for sale,,San Francisco,CA,94133,"$4,500,000 ","None bds, None ba ,15039 sqft",Compass Commercial,https://www.zillow.com/homedetails/648-Pacific-Ave-San-Francisco-CA-94133/2079218980_zpid/
House for sale,,San Francisco,CA,94133,"$1,649,000 ","6 bds, None ba ,2400 sqft",Compass,https://www.zillow.com/homedetails/19-Bernard-St-San-Francisco-CA-94133/2075401646_zpid/
House for sale,,San Francisco,CA,94133,"$6,385,000 ","10 bds, 7.0 ba ,5775 sqft",Compass,https://www.zillow.com/homedetails/873-Union-877-St-San-Francisco-CA-94133/2076570503_zpid/
House for sale,,San Francisco,CA,94133,"$2,395,000 ","3 bds, 2.0 ba ,1970 sqft",Compass,https://www.zillow.com/homedetails/877-Union-St-San-Francisco-CA-94133/2077235108_zpid/
House for sale,,San Francisco,CA,94133,"$1,695,000 ","3 bds, 2.0 ba ,1715 sqft",Compass,https://www.zillow.com/homedetails/875-Union-St-San-Francisco-CA-94133/2077855271_zpid/
House for sale,,San Francisco,CA,94133,"$2,195,000 ","4 bds, 3.0 ba ,2090 sqft",Compass,https://www.zillow.com/homedetails/873-Union-St-San-Francisco-CA-94133/2075397059_zpid/
House for sale,,San Francisco,CA,94133,"$1,999,000 ","3 bds, 3.0 ba ,2179 sqft",Compass,https://www.zillow.com/homedetails/1834-Mason-St-A-San-Francisco-CA-94133/2079294095_zpid/
Condo for sale,,San Francisco,CA,94133,"$1,300,000 ","2 bds, 2.0 ba ,1124 sqft",,https://www.zillow.com/homedetails/11-Kenneth-Rexroth-Pl-San-Francisco-CA-94133/96033541_zpid/
Condo for sale,,San Francisco,CA,94133,"$1,950,000 ","3 bds, 2.0 ba ,1392 sqft",,https://www.zillow.com/homedetails/479-Vallejo-St-San-Francisco-CA-94133/79842102_zpid/
House for sale,,San Francisco,CA,94133,"$1,695,000 ","3 bds, 2.0 ba ,None sqft",Compass,https://www.zillow.com/homedetails/1821-Stockton-St-1821-San-Francisco-CA-94133/2076792322_zpid/
House for sale,,San Francisco,CA,94133,"$2,430,000 ","1 bds, 2.0 ba ,1484 sqft",Compass,https://www.zillow.com/homedetails/1436-Kearny-St-San-Francisco-CA-94133/15065687_zpid/
Condo for sale,,San Francisco,CA,94133,"$1,950,000 ","2 bds, 2.0 ba ,1660 sqft",Compass SF,https://www.zillow.com/homedetails/1070-Green-St-APT-802-San-Francisco-CA-94133/15066020_zpid/
Townhouse for sale,,San Francisco,CA,94133,"$10,000,000 ","3 bds, 3.0 ba ,None sqft",Coldwell Banker Realty,https://www.zillow.com/homedetails/341-Filbert-St-San-Francisco-CA-94133/15065707_zpid/
New construction,,San Francisco,CA,94133,"$2,575,000 ","3 bds, 2.0 ba ,1772 sqft",Casa Blanca Real Estate,https://www.zillow.com/homedetails/1731-Powell-St-UNIT-204-San-Francisco-CA-94133/2077199573_zpid/
New construction,,San Francisco,CA,94133,"$1,225,000 ","1 bds, 1.0 ba ,839 sqft",Casa Blanca Real Estate,https://www.zillow.com/homedetails/1731-Powell-St-302-San-Francisco-CA-94133/2077827899_zpid/
Condo for sale,,San Francisco,CA,94133,"$1,895,000 ","2 bds, 3.0 ba ,1550 sqft",Vanguard Properties,https://www.zillow.com/homedetails/1020-Union-St-APT-10-San-Francisco-CA-94133/80747656_zpid/
House for sale,,San Francisco,CA,94133,"$1,400,000 ","1 bds, 1.0 ba ,None sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/218-Union-St-APT-5-San-Francisco-CA-94133/2083858347_zpid/
House for sale,,San Francisco,CA,94133,"$1,600,000 ","6 bds, None ba ,3440 sqft",Compass Commercial,https://www.zillow.com/homedetails/125-Trenton-St-San-Francisco-CA-94133/2077307443_zpid/
House for sale,,San Francisco,CA,94133,"$3,295,000 ","7 bds, 4.0 ba ,4215 sqft",Corcoran Global Living,https://www.zillow.com/homedetails/735-Chestnut-St-737-San-Francisco-CA-94133/2076570639_zpid/
House for sale,,San Francisco,CA,94133,"$4,995,000 ","0 bds, None ba ,3713 sqft",Compass,https://www.zillow.com/homedetails/524-Vallejo-St-526-San-Francisco-CA-94133/2076570669_zpid/
House for sale,,San Francisco,CA,94133,"$2,500,000 ","6 bds, 2.0 ba ,3240 sqft",Trident Real Estate,https://www.zillow.com/homedetails/1534-Grant-Ave-1538-San-Francisco-CA-94133/2076570736_zpid/
Multi-family home for sale,,San Francisco,CA,94133,"$3,880,000 ","12 bds, None ba ,5298 sqft",Starboard Commercial Brokerage,https://www.zillow.com/homedetails/1513-Taylor-St-1519-San-Francisco-CA-94133/2076570925_zpid/
